# JWST blank sky Saha et al.
# https://arxiv.org/pdf/2503.14582
# mass [eV]     photon coupling [GeV^-1]
# Limits from https://arxiv.org/abs/2503.14582
# mass [eV]	photon coupling [GeV^-1]
4.749540e-01	3.789129e-11
4.749557e-01	5.018748e-11
4.749560e-01	5.117296e-11
4.749561e-01	3.760796e-11
4.749640e-01	4.072142e-11
4.749640e-01	4.157819e-11
4.749641e-01	4.637027e-11
4.749642e-01	4.117316e-11
4.749681e-01	5.135232e-11
4.749682e-01	4.899888e-11
4.749753e-01	5.841455e-11
4.749761e-01	4.416162e-11
4.749771e-01	5.165499e-11
4.749815e-01	3.856668e-11
4.749916e-01	4.534669e-11
4.750017e-01	5.243796e-11
4.750018e-01	3.852933e-11
4.750020e-01	4.468708e-11
4.750087e-01	4.907727e-11
4.750100e-01	3.386261e-11
4.750100e-01	5.227486e-11
4.750104e-01	3.092038e-11
4.750111e-01	4.630542e-11
4.750126e-01	4.991238e-11
4.750145e-01	3.911062e-11
4.750162e-01	5.349336e-11
4.750165e-01	5.322307e-11
4.750166e-01	3.803191e-11
4.750244e-01	4.026936e-11
4.750245e-01	3.949149e-11
4.750245e-01	4.383729e-11
4.750246e-01	3.971235e-11
4.750286e-01	5.464338e-11
4.750286e-01	4.931248e-11
4.750358e-01	5.989970e-11
4.750365e-01	4.453866e-11
4.750376e-01	5.177459e-11
4.750420e-01	3.655956e-11
4.750520e-01	4.515635e-11
4.750622e-01	5.348566e-11
4.750623e-01	3.853604e-11
4.750624e-01	5.923491e-11
4.750625e-01	4.470232e-11
4.750691e-01	5.134270e-11
4.750704e-01	3.348787e-11
4.750705e-01	4.966614e-11
4.750709e-01	3.089397e-11
4.750731e-01	5.155478e-11
4.750750e-01	4.104998e-11
4.750767e-01	5.779868e-11
4.750770e-01	5.628948e-11
4.750771e-01	3.911347e-11
4.750849e-01	4.006350e-11
4.750849e-01	3.782181e-11
4.750850e-01	4.200889e-11
4.750851e-01	3.826191e-11
4.750858e-01	5.693590e-11
4.750891e-01	5.854502e-11
4.750892e-01	5.042157e-11
4.750970e-01	4.617519e-11
4.750981e-01	5.230128e-11
4.751024e-01	3.507376e-11
4.751125e-01	4.564336e-11
4.751227e-01	5.462058e-11
4.751228e-01	3.855638e-11
4.751230e-01	4.458324e-11
4.751296e-01	5.445423e-11
4.751309e-01	3.351346e-11
4.751310e-01	4.841592e-11
4.751314e-01	3.125877e-11
4.751336e-01	5.376448e-11
4.751355e-01	4.379040e-11
4.751376e-01	4.351364e-11
4.751453e-01	4.019729e-11
4.751454e-01	3.654686e-11
4.751454e-01	4.079069e-11
4.751455e-01	3.695044e-11
4.751463e-01	5.433773e-11
4.751497e-01	5.235420e-11
4.751576e-01	4.943087e-11
4.751586e-01	5.320875e-11
4.751629e-01	3.408973e-11
4.751730e-01	4.693047e-11
4.751740e-01	4.397700e-11
4.751833e-01	5.572487e-11
4.751834e-01	3.854290e-11
4.751835e-01	4.433416e-11
4.751902e-01	5.849622e-11
4.751914e-01	3.396234e-11
4.751915e-01	4.833833e-11
4.751919e-01	3.208877e-11
4.751941e-01	5.658061e-11
4.751961e-01	5.342465e-11
4.751981e-01	5.317871e-11
